u,i,label,ts
1,2,8,6
1,76,2,6
76,1,2,6
1,23,6,6
54,129,1,6
116,7,2,6
7,116,2,6
54,13,2,6
13,54,2,6
77,39,3,6
77,15,1,6
77,6,3,6
77,1,3,6
77,23,1,6
77,28,3,6
77,115,3,6
77,112,1,6
77,131,1,6
77,61,3,6
129,54,1,6
54,2,2,6
2,54,2,6
127,119,10,6
127,132,1,6
132,127,2,6
7,133,1,6
133,7,1,6
105,41,1,6
41,64,1,6
64,41,1,6
57,110,1,6
113,125,2,6
125,113,2,6
54,7,6,6
7,54,5,6
113,23,2,6
113,135,2,6
135,113,2,6
78,36,2,6
36,78,2,6
2,132,2,6
132,2,2,6
96,15,4,6
110,57,1,6
110,41,1,6
132,28,1,6
28,132,1,6
111,1,1,6
132,134,1,6
134,132,1,6
132,100,1,6
100,132,1,6
41,137,1,6
15,96,3,6
137,41,1,6
7,137,1,6
137,7,1,6
1,138,1,6
138,1,1,6
132,138,1,6
138,132,1,6
100,111,1,6
111,100,1,6
100,64,1,6
64,100,1,6
41,140,1,6
140,41,1,6
7,60,5,6
60,100,2,6
7,141,2,6
141,134,5,6
134,141,5,6
141,7,3,6
132,21,5,6
139,132,1,6
132,139,1,6
78,132,3,6
2,3,8,6
132,142,1,6
142,132,1,6
110,142,1,6
1,110,1,6
110,1,1,6
142,110,1,6
110,76,2,7
2,142,1,7
142,2,1,7
110,143,1,7
143,110,1,7
75,132,1,7
110,134,1,7
134,110,1,7
132,144,1,7
144,132,1,7
1,145,1,7
145,1,1,7
146,2,1,7
60,147,1,7
41,148,1,7
148,41,1,7
23,113,4,7
21,132,2,7
93,81,2,7
78,149,1,7
149,150,1,7
150,149,1,7
132,75,1,7
2,110,1,7
110,2,1,7
110,144,1,7
144,110,1,7
41,147,1,7
147,41,1,7
132,152,1,7
104,153,2,7
81,93,3,7
152,154,1,7
154,152,2,7
152,75,1,7
110,155,1,7
132,156,4,7
156,132,4,7
132,113,3,7
113,132,3,7
155,110,1,7
41,157,1,7
157,41,1,7
149,132,1,7
132,149,1,7
113,158,1,7
158,113,2,7
56,7,3,7
7,56,3,7
41,132,1,7
153,104,2,7
132,41,1,7
114,1,2,7
1,114,2,7
1,111,2,7
60,160,1,7
160,60,1,7
114,149,1,7
149,114,1,7
114,146,1,7
78,146,1,7
146,78,1,7
122,78,1,7
132,78,3,7
146,114,1,7
114,21,1,7
7,161,3,7
161,7,3,7
21,114,1,7
132,104,1,7
104,132,1,7
132,157,2,7
157,132,2,7
1,7,9,7
7,1,7,7
132,162,1,7
162,132,1,7
41,163,1,7
163,41,1,7
41,162,1,7
162,41,1,7
2,149,1,7
149,2,1,7
75,41,2,7
143,81,1,7
143,80,1,7
80,143,1,7
1,165,1,7
165,1,1,7
152,166,1,7
166,152,1,7
2,166,1,7
166,2,1,7
110,104,1,7
41,167,1,7
167,41,1,7
41,168,1,7
168,41,1,7
132,169,2,7
169,132,2,7
81,149,1,7
142,170,1,7
170,142,1,7
45,171,2,7
171,45,2,7
64,166,1,7
166,64,1,7
113,166,1,7
166,113,1,7
60,104,2,7
60,172,1,7
64,3,1,7
113,173,2,7
173,113,1,7
41,174,1,7
172,60,1,7
166,156,2,7
156,166,2,7
175,7,2,7
45,176,3,7
161,144,1,7
144,161,1,7
7,166,1,7
161,177,1,7
177,161,1,7
149,129,1,7
129,149,1,7
144,178,1,7
178,144,1,7
75,1,2,7
75,179,1,7
179,75,1,7
75,62,2,7
62,75,2,7
143,173,1,8
149,173,1,8
173,149,1,8
173,143,1,8
166,180,1,8
180,166,1,8
174,41,1,8
149,81,3,8
144,143,1,8
143,144,1,8
60,148,2,8
148,60,2,8
2,156,1,8
156,2,1,8
1,19,6,8
132,181,1,8
181,132,1,8
135,181,1,8
181,135,1,8
132,159,1,8
159,132,1,8
135,143,1,8
143,135,1,8
148,182,1,8
182,148,1,8
144,181,1,8
181,144,1,8
181,183,2,8
183,181,2,8
143,183,1,8
183,143,1,8
142,64,1,8
64,142,1,8
184,7,2,8
7,184,2,8
80,7,1,8
7,78,1,8
78,7,1,8
147,179,1,8
179,147,1,8
7,185,1,8
185,7,1,8
176,45,1,8
183,186,1,8
186,183,1,8
135,187,1,8
187,135,1,8
33,7,2,8
7,33,2,8
78,144,3,8
7,188,1,8
188,7,1,8
104,189,2,8
189,104,2,8
104,190,1,8
190,104,1,8
104,110,2,8
104,191,1,8
191,104,1,8
104,113,1,8
113,104,1,8
6,173,3,8
110,7,1,8
104,171,1,8
171,104,1,8
143,192,1,8
192,143,1,8
60,159,2,8
159,60,2,8
2,1,8,8
57,25,2,8
60,178,2,8
7,35,2,8
60,193,1,8
193,60,1,8
60,194,1,8
194,178,1,8
194,60,1,8
178,194,1,8
7,195,1,8
195,7,1,8
29,60,2,8
62,196,1,8
196,62,1,8
60,29,2,8
60,191,4,8
7,156,1,8
156,7,1,8
60,198,1,8
60,199,1,8
199,60,1,8
7,200,2,8
200,7,2,8
132,198,2,8
198,132,1,8
35,7,2,9
194,201,1,9
201,194,1,9
100,202,1,9
202,100,1,9
142,203,1,9
203,142,1,9
7,204,1,9
142,60,1,9
7,110,3,9
60,205,1,9
206,201,1,9
201,206,1,9
207,7,2,9
200,62,1,9
60,75,3,9
75,60,3,9
75,7,3,9
60,209,3,9
7,210,1,9
210,7,1,9
142,143,2,9
143,142,2,9
60,142,1,9
7,206,2,9
149,209,1,9
120,7,5,9
7,207,3,9
7,96,1,9
104,179,-1,9
200,179,-1,9
149,179,-1,9
96,7,2,9
56,60,2,9
202,211,1,9
200,13,1,9
13,200,1,9
211,202,1,9
104,149,1,9
149,104,1,9
104,60,3,9
149,62,1,9
167,211,1,9
206,7,2,9
202,212,1,9
212,202,1,9
212,209,1,9
60,212,4,9
212,60,4,9
101,134,1,9
60,213,2,9
213,60,2,9
134,101,1,9
212,7,1,9
212,132,1,9
212,29,1,9
143,153,1,9
153,143,2,9
35,110,2,9
135,214,1,9
143,215,1,9
215,143,1,9
29,212,1,9
7,212,1,9
135,152,1,9
7,179,-1,9
39,149,4,9
149,39,4,9
214,216,1,9
216,214,1,9
174,112,1,9
153,202,1,9
29,120,2,9
60,217,2,9
60,218,1,9
218,60,1,9
209,212,1,9
217,60,2,9
217,3,5,9
135,179,-1,9
176,219,1,9
219,176,1,9
219,110,1,9
176,220,1,9
1,223,7,10
60,1,7,10
60,7,7,10
39,2,8,10
202,176,1,10
176,202,1,10
60,224,4,10
1,225,1,10
225,1,1,10
225,209,1,10
29,1,4,10
29,219,1,10
219,29,1,10
1,132,1,10
1,227,1,10
227,1,1,10
60,228,1,10
225,45,1,10
60,214,2,10
199,185,1,10
185,199,1,10
60,230,1,10
60,231,1,10
231,60,1,10
7,232,3,10
1,104,1,10
104,1,2,10
33,1,8,10
62,149,1,10
29,171,1,10
206,233,1,10
233,206,1,10
232,7,2,10
60,208,3,10
208,60,3,10
206,234,1,10
234,206,1,10
235,7,5,10
222,7,2,10
104,202,3,10
202,104,3,10
202,236,1,10
236,202,1,10
202,237,1,10
237,202,10,10
149,238,1,10
238,149,1,10
39,239,1,10
239,64,1,10
239,39,1,10
202,135,2,10
135,202,2,10
2,7,5,10
2,60,5,10
2,62,8,10
2,77,2,10
7,2,5,10
7,39,5,10
7,41,5,10
7,21,5,10
7,72,2,10
7,62,6,10
208,62,1,10
206,240,1,10
240,206,2,10
62,208,1,10
231,241,1,10
39,143,2,10
143,39,2,10
241,231,1,10
60,242,6,10
242,60,6,10
135,2,1,10
204,7,1,10
1,64,3,10
64,1,3,10
202,244,1,10
244,60,2,10
202,56,1,10
56,202,1,10
164,60,5,10
60,164,5,10
204,80,1,10
56,114,1,10
149,80,5,10
1,245,1,10
241,80,3,10
35,246,1,10
246,35,1,10
1,247,1,10
247,1,1,10
80,241,3,10
80,64,1,10
80,204,1,10
80,149,5,10
80,81,8,10
228,60,2,10
72,21,1,10
35,248,2,10
248,35,2,10
244,245,2,10
245,244,2,10
245,250,1,10
250,245,1,10
60,251,1,10
60,250,3,10
250,60,3,10
7,175,2,10
166,206,1,10
206,166,1,10
60,244,4,10
166,158,1,10
215,249,1,10
249,215,1,10
60,243,5,10
243,60,6,10
60,252,1,10
252,60,1,10
253,95,1,10
143,7,5,10
7,143,4,10
1,234,1,10
234,1,1,10
251,245,1,10
245,251,1,10
60,88,2,10
88,60,4,10
88,104,3,10
104,88,3,10
60,255,1,10
255,60,1,10
29,251,2,10
166,7,3,10
251,29,2,10
251,60,5,10
251,1,5,10
251,202,5,10
1,251,2,10
164,163,1,10
206,256,1,10
256,206,1,10
60,257,10,10
6,258,1,10
258,6,1,10
64,219,1,10
258,259,1,10
259,258,2,10
1,260,1,10
7,260,4,10
1,261,1,10
261,1,1,10
202,158,1,11
256,153,1,11
202,240,2,11
240,202,2,11
244,113,1,11
244,114,1,11
207,262,1,11
262,207,1,11
23,263,2,11
60,264,4,11
60,265,4,11
265,60,4,11
149,266,1,11
266,149,1,11
35,267,1,11
267,35,1,11
202,141,1,11
141,202,1,11
6,268,3,11
266,60,5,11
229,215,1,11
215,229,1,11
141,41,1,11
242,141,1,11
141,242,1,11
215,221,2,11
268,6,3,11
221,215,2,11
221,269,1,11
269,221,1,11
269,3,1,11
41,141,1,11
60,269,1,11
153,7,1,11
249,167,1,11
221,171,1,11
1,109,1,11
202,230,1,11
171,221,1,11
171,235,2,11
235,171,1,11
64,7,3,11
177,1,4,11
60,77,4,11
149,25,10,11
1,271,1,11
271,1,1,11
221,272,1,11
272,221,1,11
202,153,4,11
60,261,2,11
261,60,2,11
60,273,2,11
23,231,1,11
7,243,4,11
230,202,2,11
144,78,5,11
144,153,1,11
269,7,1,11
7,269,1,11
1,274,1,11
274,1,1,11
141,1,2,11
1,141,1,11
141,273,1,11
141,275,1,11
60,276,3,11
276,60,3,11
141,256,1,11
270,277,1,11
256,141,1,11
277,270,1,11
202,127,1,11
167,249,1,11
275,141,1,11
221,202,4,11
202,221,4,11
221,64,1,11
206,221,1,11
221,206,1,11
273,60,3,11
60,279,2,11
219,64,5,11
219,109,1,11
219,21,5,11
279,60,8,11
202,278,3,11
278,202,3,11
206,29,1,11
29,206,1,11
280,281,1,11
206,282,1,11
242,274,1,11
282,206,1,11
283,284,10,11
7,240,2,11
7,285,1,11
202,286,1,11
286,202,1,11
256,287,1,11
287,256,1,11
202,288,1,11
288,202,1,11
257,265,4,11
257,242,5,11
257,104,5,11
257,60,5,11
202,134,2,11
134,202,1,11
37,219,2,11
219,37,2,11
290,215,1,11
215,290,1,11
284,283,10,11
245,291,1,11
291,245,1,11
292,202,1,11
217,149,1,11
149,217,1,11
224,257,4,11
224,60,5,11
224,144,1,11
144,224,1,11
224,171,1,11
171,224,1,11
135,293,1,11
21,60,5,11
199,104,1,11
7,294,1,11
294,7,1,11
293,204,1,11
204,293,1,11
231,28,1,11
274,295,2,11
295,274,2,11
202,292,1,11
249,64,1,11
230,101,2,11
1,296,1,11
64,249,1,11
229,297,1,11
297,229,1,11
4,282,2,11
282,4,2,11
298,299,1,11
299,298,1,11
257,29,5,11
271,202,1,11
202,271,1,11
272,7,2,11
7,272,2,11
37,301,1,11
301,37,1,11
60,299,2,11
299,60,3,11
29,302,1,11
135,303,1,11
303,135,1,11
64,301,1,11
301,64,1,11
214,60,3,11
29,304,1,11
304,29,1,11
7,254,1,11
254,7,1,11
17,254,1,11
7,135,2,11
284,21,1,11
282,305,1,11
305,282,1,11
282,306,1,11
306,282,1,11
60,229,2,11
229,60,2,11
144,282,1,11
282,144,1,11
206,307,1,11
39,308,2,11
307,206,1,11
1,180,1,11
180,1,1,11
235,20,1,11
29,198,1,11
198,29,1,11
198,60,2,11
29,274,2,11
280,29,1,11
274,29,2,11
29,280,1,11
202,206,3,11
206,202,3,11
274,204,1,11
204,274,1,11
204,186,2,11
186,204,2,11
7,266,2,11
60,223,7,11
257,279,4,11
15,167,1,11
167,15,1,11
171,309,1,11
309,171,1,11
310,282,1,11
257,274,5,11
28,231,1,11
202,204,2,11
204,202,2,11
21,308,6,11
1,311,1,11
311,1,1,11
1,312,1,11
312,1,1,11
60,312,4,11
312,60,2,11
206,273,2,11
273,206,2,11
304,93,1,11
93,304,1,11
93,62,3,11
312,221,1,11
21,93,8,11
93,21,8,11
7,314,2,11
257,314,4,11
7,249,1,11
314,257,4,11
274,108,1,11
254,17,2,11
41,233,2,11
45,313,1,11
45,315,1,11
60,202,3,11
64,316,1,11
316,64,1,11
316,274,1,11
64,317,1,11
317,64,1,11
45,318,1,11
318,45,1,11
319,284,1,11
76,110,3,11
257,275,4,11
312,62,1,11
62,312,1,11
313,45,10,11
284,319,1,11
320,60,1,11
240,7,4,11
214,221,1,11
221,214,1,11
108,7,1,11
7,108,1,11
202,322,1,11
322,202,1,11
314,7,4,11
249,323,1,11
323,249,1,11
215,324,1,12
7,219,1,12
219,7,2,12
7,228,1,12
228,7,1,12
324,215,1,12
62,304,1,12
304,62,1,12
62,325,1,12
62,202,2,12
202,62,4,12
7,326,1,12
326,7,1,12
62,285,1,12
285,62,1,12
57,7,8,12
321,274,2,12
274,321,2,12
274,327,1,12
327,274,1,12
29,328,1,12
328,29,1,12
322,329,1,12
329,322,1,12
199,219,1,12
313,135,1,12
321,202,3,12
202,321,3,12
239,28,1,12
7,296,4,12
257,334,3,12
257,338,5,12
321,345,1,12
345,321,1,12
345,346,1,12
202,289,2,12
289,202,2,12
29,347,1,12
29,186,1,12
186,29,1,12
296,7,5,12
308,39,4,12
308,21,3,12
308,1,3,12
214,202,1,12
202,214,1,12
101,315,-10,12
257,268,6,12
249,349,1,12
349,249,5,12
257,283,3,12
340,60,6,12
257,336,3,12
35,251,1,12
251,35,1,12
239,219,1,12
219,239,1,12
266,350,2,12
350,266,2,12
7,4,4,12
60,340,1,12
60,21,1,12
324,204,1,12
346,345,1,12
321,215,1,12
215,321,1,12
62,293,3,12
293,62,3,12
202,7,5,12
202,251,2,12
352,4,1,12
7,202,4,12
353,144,1,12
144,353,1,12
7,354,1,12
354,7,1,12
64,353,1,12
141,285,1,12
350,353,2,12
353,350,2,12
135,355,1,12
355,135,1,12
202,356,1,12
356,202,1,12
310,7,5,12
41,357,2,12
285,141,1,12
324,202,1,12
202,324,1,12
304,1,1,12
353,304,1,12
304,353,1,12
257,359,5,12
257,21,5,12
346,257,1,12
204,324,1,12
60,254,3,12
339,60,3,12
1,139,2,12
139,202,1,12
202,139,1,12
139,1,2,12
219,359,1,12
359,257,3,12
257,244,5,12
359,60,3,12
270,135,1,12
135,270,1,12
37,93,2,12
285,360,3,12
285,7,2,12
7,134,3,12
288,307,1,12
202,4,7,12
324,1,1,12
1,324,1,12
144,366,1,12
249,367,1,12
367,249,1,12
7,368,1,12
368,7,1,12
254,60,3,12
39,298,3,12
298,39,3,12
325,62,2,12
358,7,3,12
358,202,3,12
202,358,3,12
228,293,1,12
249,62,1,12
62,249,1,12
356,370,1,12
370,356,1,12
249,371,1,12
371,249,1,12
356,1,1,12
1,356,1,12
372,257,5,12
41,257,2,12
372,41,1,12
41,372,1,12
293,296,5,12
202,363,3,12
363,202,4,12
257,295,4,12
41,265,1,12
265,41,1,12
7,142,3,12
149,17,2,12
17,149,2,12
17,375,2,12
17,7,4,12
29,62,2,12
62,29,1,12
33,325,1,12
325,33,1,12
339,257,4,12
202,377,1,12
377,202,1,12
33,202,1,12
202,33,1,12
41,201,1,12
374,35,1,12
257,284,4,12
366,346,1,12
346,366,1,12
366,144,1,12
215,378,1,12
378,215,1,12
322,379,1,12
379,322,1,12
372,380,1,12
380,372,1,12
6,219,4,12
219,6,2,12
219,375,2,12
273,141,2,12
285,60,1,12
60,285,1,12
360,285,3,12
309,382,1,12
382,309,1,12
248,383,1,12
383,248,1,12
178,384,1,12
384,178,1,12
372,385,1,12
385,372,1,12
134,7,3,12
386,348,1,12
348,386,1,12
353,386,1,12
386,353,1,12
386,387,1,12
387,386,1,12
383,339,1,12
339,383,1,12
148,388,1,12
380,186,1,12
186,380,1,12
346,171,1,12
143,380,1,12
380,143,1,12
134,389,1,12
389,134,1,12
134,390,1,12
390,134,1,12
390,391,1,12
391,390,1,12
257,392,5,12
4,202,8,12
4,125,2,12
125,4,2,12
330,7,10,12
143,351,1,12
351,143,1,12
393,7,1,12
393,342,1,12
342,393,1,12
7,393,1,12
342,395,10,12
266,233,2,12
77,396,1,12
396,77,1,12
357,266,2,12
249,393,1,12
357,347,2,12
393,249,1,12
257,397,5,12
77,20,3,12
77,308,1,12
7,159,1,12
156,353,1,12
353,156,1,12
346,399,1,12
4,19,6,12
399,346,1,12
347,202,1,12
257,400,5,12
400,257,5,12
57,401,1,12
401,57,1,12
401,402,1,12
171,346,2,12
402,401,1,12
393,387,2,12
387,393,2,12
393,347,1,12
347,393,1,12
80,403,1,12
403,80,1,12
288,404,1,12
404,288,1,12
215,288,1,12
288,215,1,12
401,230,2,12
230,401,2,12
347,405,1,12
405,347,1,12
345,7,1,12
7,345,2,12
235,348,1,12
348,235,1,12
235,406,1,12
406,235,1,12
64,407,1,12
393,408,1,12
408,393,2,12
4,2,6,12
155,7,5,12
7,155,4,12
198,230,5,12
293,7,2,12
353,409,1,12
409,353,1,12
410,198,2,12
410,7,1,12
410,320,3,12
410,201,10,12
312,409,1,12
409,312,1,12
198,330,3,12
330,198,3,12
198,411,1,12
411,198,1,12
257,177,4,12
198,412,1,12
412,198,1,12
198,2,8,12
2,198,5,12
320,410,1,12
298,412,3,12
412,298,3,12
257,414,4,12
257,415,5,12
414,60,5,12
202,347,2,12
1,51,1,12
412,392,1,12
1,384,1,12
384,1,1,12
392,412,1,12
239,37,1,12
37,239,1,12
7,418,2,12
396,392,1,12
418,7,2,12
392,396,1,12
1,399,1,12
399,1,1,12
418,104,2,12
149,64,2,12
104,418,2,12
257,340,6,12
236,152,1,12
320,142,1,12
142,320,1,12
356,104,2,12
104,356,3,12
215,404,1,12
404,215,1,12
259,219,1,12
219,259,1,12
300,64,1,12
64,300,1,12
270,421,1,12
421,270,1,12
405,423,1,12
423,405,1,12
257,372,6,12
333,257,4,12
387,401,3,12
401,387,3,12
330,80,3,12
80,330,3,12
257,341,4,12
104,427,3,12
427,104,1,12
353,202,3,12
202,353,3,12
144,7,1,12
7,144,1,12
350,347,3,12
256,428,1,12
428,256,1,12
143,35,3,12
283,428,1,12
350,77,1,12
77,256,1,12
256,77,1,12
428,283,1,12
77,350,1,12
7,429,1,12
429,7,1,12
77,125,1,12
125,77,2,12
256,402,1,12
402,256,1,12
371,35,2,12
347,350,3,12
257,332,3,12
394,430,1,12
257,339,4,12
366,410,-10,12
366,432,1,12
432,410,-10,12
423,421,1,12
421,423,1,12
239,15,2,12
386,377,1,12
383,423,1,12
423,383,1,12
423,387,1,12
387,423,1,12
270,7,4,12
353,433,1,12
433,353,2,12
257,297,4,12
215,434,1,12
45,435,1,12
435,45,1,12
433,421,1,12
421,433,2,12
286,80,1,12
80,286,1,12
404,166,1,12
166,404,1,12
405,433,1,12
433,405,1,12
433,404,2,12
404,433,2,12
7,293,2,12
7,410,-1,12
257,322,4,12
198,288,1,12
178,181,2,12
433,436,1,12
436,433,1,12
288,198,1,12
181,178,2,12
202,301,4,12
430,394,1,12
301,202,4,12
393,203,1,12
203,393,1,12
301,437,1,12
437,301,1,12
1,438,1,12
438,1,1,12
434,215,1,12
7,270,5,12
15,297,2,12
203,439,1,12
439,203,1,12
404,51,1,12
404,308,1,12
308,404,1,12
439,184,1,12
257,105,6,12
441,60,1,12
1,442,1,12
320,443,2,12
442,1,1,12
440,444,1,12
443,320,2,12
444,440,1,12
180,445,1,12
445,180,3,12
257,310,4,12
443,410,-10,12
399,408,1,12
408,399,1,12
325,353,1,12
353,325,1,12
298,446,1,12
446,298,1,12
1,144,5,12
144,1,5,12
214,443,2,12
257,309,3,12
443,214,2,12
378,203,1,12
352,296,2,12
219,1,10,12
219,446,2,12
7,365,1,12
365,7,1,12
446,219,2,12
310,25,1,12
363,25,2,12
1,219,3,12
436,448,1,12
448,436,1,12
202,310,1,12
7,449,1,12
449,7,1,12
310,202,1,12
1,47,3,12
257,431,4,12
397,278,8,12
397,62,3,12
397,3,3,12
397,257,5,12
320,1,3,12
1,320,3,12
304,322,1,12
322,304,1,12
297,15,2,12
322,35,1,12
363,450,1,12
450,363,1,12
254,296,2,12
203,378,2,12
206,198,1,12
198,285,2,12
285,198,1,12
51,451,10,12
451,51,10,12
451,452,1,12
452,451,1,12
51,453,1,12
51,1,1,12
384,51,5,12
453,51,1,12
453,454,1,12
257,41,4,12
198,455,1,12
443,456,2,12
35,322,1,12
35,143,3,12
35,374,1,12
35,353,1,12
198,457,1,12
457,198,1,12
198,421,1,12
421,198,1,12
198,416,1,12
353,198,1,12
198,353,1,12
416,198,1,12
346,458,1,12
458,346,1,12
443,459,1,12
456,443,2,12
459,443,1,12
459,378,1,12
375,460,1,12
460,375,3,12
460,7,1,12
460,235,1,12
460,439,1,12
438,464,1,12
464,438,1,12
408,465,1,12
405,256,1,12
256,405,1,12
4,466,1,12
465,408,1,12
427,441,2,12
441,427,2,12
408,144,2,12
144,408,2,12
466,4,1,12
441,345,2,12
345,441,2,12
467,21,1,12
21,467,1,12
467,468,1,12
467,463,1,12
1,464,1,12
7,460,2,12
408,469,1,12
464,1,1,12
35,464,1,12
468,134,1,12
134,468,1,12
469,408,1,12
463,467,-3,12
463,468,1,12
468,463,1,12
432,274,5,12
463,462,2,12
462,463,2,12
408,470,1,12
470,408,1,12
464,35,1,12
45,62,5,12
257,312,4,12
423,468,1,12
468,423,1,12
468,467,-3,12
51,404,1,12
51,384,5,12
412,471,1,12
471,412,1,12
350,472,1,12
202,441,1,12
441,202,1,12
1,431,1,12
431,1,1,12
472,350,1,12
7,473,1,12
427,467,-10,12
473,7,2,12
257,369,4,12
463,425,1,12
425,463,1,12
235,455,2,12
455,235,2,12
257,417,4,12
459,475,1,12
401,476,1,12
248,197,1,12
401,383,2,12
383,401,1,12
468,386,1,12
386,468,1,12
249,7,5,12
257,264,5,12
405,477,1,12
256,469,2,12
469,256,2,12
406,257,1,12
425,478,1,12
393,405,1,12
405,393,1,12
478,425,1,12
424,7,2,12
7,424,2,12
393,479,1,12
479,393,1,12
409,148,1,12
148,409,1,12
257,376,6,12
257,373,4,12
477,405,1,12
479,477,1,12
477,479,1,12
257,269,5,12
257,420,6,12
144,401,3,12
435,480,1,12
480,435,1,12
322,479,2,12
479,322,2,12
401,144,3,12
398,346,5,12
224,462,2,12
346,398,5,12
7,310,-1,12
7,481,1,12
481,7,2,12
394,393,3,12
393,394,3,12
257,250,5,12
257,214,5,12
423,4,1,12
405,198,1,12
322,310,-10,12
454,453,1,12
454,101,1,12
408,454,2,12
454,408,1,12
383,482,1,12
482,383,1,12
64,186,1,12
186,64,1,12
378,7,1,12
7,378,1,12
462,483,2,12
421,472,1,12
399,484,1,12
484,399,1,12
408,387,1,12
387,408,1,12
6,198,2,12
387,472,1,12
484,228,1,12
228,484,1,12
383,348,1,12
348,383,1,12
304,485,1,12
485,304,1,12
1,486,1,12
486,1,10,12
383,487,1,12
202,60,5,12
468,488,1,12
488,468,1,12
468,489,1,12
489,468,1,12
21,490,8,12
412,77,1,12
77,412,1,12
64,256,1,12
256,64,1,12
489,132,1,12
132,489,1,12
1,416,1,12
64,104,10,12
416,1,1,12
350,489,2,12
489,350,2,12
350,492,2,12
492,350,2,12
132,202,2,12
202,132,2,12
198,472,2,12
144,57,1,12
57,144,1,12
472,198,1,12
472,399,1,12
472,412,2,12
387,493,1,12
440,7,2,12
493,387,1,12
7,440,2,12
132,7,10,13
494,386,1,13
386,494,1,13
7,489,1,13
489,7,1,13
7,447,3,13
171,493,1,13
493,171,1,13
447,7,4,13
